"Family","Species","LastCollected","Specimens"
"Acoraceae","Acorus calamus",1932,4
"Alismataceae","Sagittaria montevidensis",1943,1
"Amaranthaceae","Amaranthus deflexus",1902,1
"Amaranthaceae","Atriplex gardneri",1956,16
"Amaranthaceae","Atriplex pusilla",1952,11
"Amaranthaceae","Atriplex truncata",1939,10
"Amaranthaceae","Chenopodium ambrosioides",1954,1
"Amaranthaceae","Chenopodium chenopodioides",1953,6
"Amaranthaceae","Chenopodium hians",1920,1
"Amaranthaceae","Chenopodium incognitum",1954,1
"Amaranthaceae","Chenopodium murale",1902,2
"Amaranthaceae","Chenopodium nevadense",1937,4
"Amaranthaceae","Chenopodium nitens",1927,1
"Amaranthaceae","Chenopodium simplex",1964,8
"Amaranthaceae","Chenopodium strictum",1963,1
"Amaranthaceae","Chenopodium vulvaria",1955,2
"Amaranthaceae","Corispermum hyssopifolium",1922,1
"Amaranthaceae","Corispermum villosum",1927,2
"Amaranthaceae","Dysphania multifida",1922,4
"Amaranthaceae","Kochia americana",1912,1
"Amaranthaceae","Monolepis spathulata",1931,2
"Amaranthaceae","Roubieva multifida",1922,1
"Amaryllidaceae","Allium douglasii",1954,7
"Amaryllidaceae","Allium nigrum",1959,1
"Amaryllidaceae","Allium schoenoprasum",1958,2
"Amaryllidaceae","Allium watsonii",1930,2
"Anacardiaceae","Rhus aromatica",1959,9
"Anacardiaceae","Rhus trilobata",1942,6
"Apiaceae","Anethum graveolens",1956,8
"Apiaceae","Angelica tomentosa",1939,5
"Apiaceae","Apium graveolens",1961,2
"Apiaceae","Cicuta bulbifera",1916,3
"Apiaceae","Cicuta maculata",1922,7
"Apiaceae","Conioselinum scopulorum",1961,2
"Apiaceae","Heracleum lanatum",1958,4
"Apiaceae","Ligusticum californicum",1902,3
"Apiaceae","Lomatium brunsfeldianum",1886,1
"Apiaceae","Lomatium serpentinum",1958,6
"Apiaceae","Lomatium watsonii",1964,4
"Apiaceae","Myrrhis odorata",1957,2
"Apiaceae","Rhysopterus plurijugus",1949,2
"Apiaceae","Tauschia kelloggii",1935,10
"Apiaceae","Torilis henryi",1903,2
"Apiaceae","Torilis nodosa",1932,5
"Apiaceae","Zizia aptera",1903,2
"Apocynaceae","Apocynum sibiricum",1956,11
"Apocynaceae","Apocynum suksdorfii",1916,1
"Apocynaceae","Asclepias mexicana",1910,1
"Araceae","Lemna minima",1940,1
"Araceae","Lemna valdiviana",1899,1
"Araceae","Wolffia punctata",1963,1
"Araliaceae","Aralia chinensis",1948,2
"Asparagaceae","Brodiaea bridgesii",1940,2
"Asparagaceae","Brodiaea crocea",1931,1
"Asparagaceae","Brodiaea howellii",1923,1
"Asparagaceae","Brodiaea hyacinthina",1911,1
"Asparagaceae","Brodiaea terrestris",1957,16
"Asparagaceae","Dichelostemma multiflorum",1948,7
"Asparagaceae","Muscari comosum",1922,3
"Asparagaceae","Smilacina sessilifolia",1927,1
"Asparagaceae","Triteleia howellii",1916,2
"Asparagaceae","Triteleia laxa",1913,1
"Aspleniaceae","Asplenium bulbiferum",1926,1
"Asteraceae","Arctium lappa",1953,2
"Asteraceae","Arctium tomentosum",1956,3
"Asteraceae","Arnica fulgens",1954,5
"Asteraceae","Arnica gracilis",1963,10
"Asteraceae","Artemisia abrotanum",1951,1
"Asteraceae","Artemisia absinthium",1962,8
"Asteraceae","Artemisia campestris",1941,6
"Asteraceae","Artemisia spiciformis",1901,1
"Asteraceae","Askellia pygmaea",1969,6
"Asteraceae","Aster campestris",1932,3
"Asteraceae","Aster chilensis",1892,1
"Asteraceae","Aster cusickii",1963,3
"Asteraceae","Aster eatonii",1915,1
"Asteraceae","Aster frondosus",1905,1
"Asteraceae","Aster hallii",1902,3
"Asteraceae","Aster occidentalis",1925,4
"Asteraceae","Aster shastensis",1934,2
"Asteraceae","Aster subspicatus",1944,1
"Asteraceae","Aster vialis",1933,1
"Asteraceae","Balsamorhiza macrophylla",1950,1
"Asteraceae","Balsamorhiza terebinthacea",1931,1
"Asteraceae","Balsamorhiza tomentosa",1930,2
"Asteraceae","Bidens beckii",1935,3
"Asteraceae","Brickellia californica",1947,9
"Asteraceae","Carthamus tinctorius",1968,2
"Asteraceae","Centaurea jacea",1943,3
"Asteraceae","Centaurea melitensis",1947,21
"Asteraceae","Centaurea nigra",1955,7
"Asteraceae","Centaurea nigrescens",1932,1
"Asteraceae","Chamaemelum mixtum",1902,1
"Asteraceae","Chrysanthemum balsamita",1955,2
"Asteraceae","Chrysanthemum leucanthemum",1932,4
"Asteraceae","Chrysothamnus humilis",1965,7
"Asteraceae","Chrysothamnus nauseosus",1955,1
"Asteraceae","Cirsium acanthodontum",1945,2
"Asteraceae","Cirsium americanum",1913,2
"Asteraceae","Cirsium callilepis",1901,2
"Asteraceae","Cirsium canovirens",1948,3
"Asteraceae","Cirsium douglasii",1927,1
"Asteraceae","Cirsium hallii",1927,1
"Asteraceae","Cirsium peckii",1936,3
"Asteraceae","Cirsium subniveum",1944,4
"Asteraceae","Cirsium undulatum",1963,28
"Asteraceae","Crepis barbigera",1954,13
"Asteraceae","Erigeron cascadensis",1967,6
"Asteraceae","Erigeron tener",1901,2
"Asteraceae","Filago pyramidata",1937,1
"Asteraceae","Gnaphalium canescens",1915,1
"Asteraceae","Gnaphalium chilense",1919,1
"Asteraceae","Gnaphalium purpureum",1952,7
"Asteraceae","Helianthella californica",1899,1
"Asteraceae","Helianthus bolanderi",1936,5
"Asteraceae","Helianthus tuberosus",1959,3
"Asteraceae","Hulsea algida",1962,10
"Asteraceae","Lactuca canadensis",1964,2
"Asteraceae","Lapsanastrum apogonoides",1940,2
"Asteraceae","Lasthenia macrantha",1929,1
"Asteraceae","Leontodon taraxacoides",1947,11
"Asteraceae","Leucanthemum maximum",1922,1
"Asteraceae","Lygodesmia juncea",1951,1
"Asteraceae","Madia madioides",1929,1
"Asteraceae","Matricaria chamomilla",1969,2
"Asteraceae","Matricaria occidentalis",1953,2
"Asteraceae","Microseris douglasii",1889,2
"Asteraceae","Oncosiphon suffruticosum",1902,3
"Asteraceae","Packera porteri",1899,1
"Asteraceae","Pseudognaphalium macounii",1915,1
"Asteraceae","Pyrrocoma uniflora",1955,4
"Asteraceae","Rudbeckia alpicola",1925,1
"Asteraceae","Rudbeckia californica",1945,3
"Asteraceae","Senecio aronicoides",1913,1
"Asteraceae","Senecio bolanderi",1947,3
"Asteraceae","Senecio hesperius",1884,2
"Asteraceae","Senecio macounii",1954,3
"Asteraceae","Senecio pseudaureus",1938,1
"Asteraceae","Senecio streptanthifolius",1927,1
"Asteraceae","Solidago spectabilis",1950,6
"Asteraceae","Stylocline psilocarphoides",1941,3
"Asteraceae","Symphyotrichum eatonii",1915,1
"Asteraceae","Symphyotrichum ericoides",1937,8
"Asteraceae","Symphyotrichum laeve",1947,1
"Asteraceae","Tanacetum balsamita",1954,3
"Asteraceae","Taraxacum ceratophorum",1933,1
"Asteraceae","Tragopogon pratensis",1916,1
"Asteraceae","Wyethia cusickii",1950,2
"Asteraceae","Wyethia mollis",1952,12
"Balsaminaceae","Impatiens ecalcarata",1947,3
"Balsaminaceae","Impatiens ecornuta",1935,3
"Berberidaceae","Berberis pumila",1968,8
"Berberidaceae","Vancouveria chrysantha",1930,5
"Betulaceae","Alnus tenuifolia",1943,1
"Betulaceae","Betula papyrifera",1958,7
"Betulaceae","Betula pumila",1927,6
"Boraginaceae","Allocarya cognata",1953,1
"Boraginaceae","Amsinckia intermedia",1914,1
"Boraginaceae","Amsinckia retrorsa",1896,2
"Boraginaceae","Amsinckia spectabilis",1939,6
"Boraginaceae","Anchusa azurea",1952,4
"Boraginaceae","Andersonglossum occidentale",1962,11
"Boraginaceae","Cryptantha rostellata",1952,13
"Boraginaceae","Cryptantha scoparia",1952,15
"Boraginaceae","Cryptantha sobolifera",1935,3
"Boraginaceae","Cynoglossum occidentale",1937,3
"Boraginaceae","Hackelia setosa",1948,2
"Boraginaceae","Lappula montana",1936,2
"Boraginaceae","Mertensia subcordata",1887,1
"Boraginaceae","Mertensia umbratilis",1938,3
"Boraginaceae","Mertensia viridis",1901,2
"Boraginaceae","Myosotis verna",1927,8
"Boraginaceae","Pectocarya penicillata",1948,15
"Boraginaceae","Pectocarya pusilla",1948,5
"Boraginaceae","Plagiobothrys lamprocarpus",1921,1
"Boraginaceae","Plagiobothrys mollis",1949,17
"Boraginaceae","Plagiobothrys reticulatus",1939,6
"Boraginaceae","Plagiobothrys stipitatus",1967,8
"Boraginaceae","Sonnea hispida",1954,6
"Brassicaceae","Abdra brachycarpa",1887,1
"Brassicaceae","Arabis alpina",1955,2
"Brassicaceae","Arabis breweri",1934,2
"Brassicaceae","Arabis drummondii",1921,3
"Brassicaceae","Arabis glabra",1924,1
"Brassicaceae","Arabis hirsuta",1966,1
"Brassicaceae","Arabis macdonaldiana",1932,5
"Brassicaceae","Arabis oregana",1967,16
"Brassicaceae","Arabis rectissima",1937,3
"Brassicaceae","Arabis sparsiflora",1936,3
"Brassicaceae","Athysanus unilateralis",1889,1
"Brassicaceae","Barbarea verna",1934,1
"Brassicaceae","Boechera breweri",1954,2
"Brassicaceae","Boechera covillei",1951,4
"Brassicaceae","Boechera microphylla",1957,4
"Brassicaceae","Boechera rectissima",1943,2
"Brassicaceae","Brassica juncea",1948,7
"Brassicaceae","Camelina rumelica",1953,1
"Brassicaceae","Cardamine parviflora",1896,2
"Brassicaceae","Cardaria pubescens",1927,1
"Brassicaceae","Chlorocrambe hastata",1967,3
"Brassicaceae","Descurainia californica",1949,3
"Brassicaceae","Descurainia incana",1954,3
"Brassicaceae","Descurainia richardsonii",1931,2
"Brassicaceae","Diplotaxis muralis",1902,1
"Brassicaceae","Diplotaxis tenuifolia",1926,3
"Brassicaceae","Draba albertina",1935,9
"Brassicaceae","Draba aureola",1957,11
"Brassicaceae","Draba cana",1966,2
"Brassicaceae","Draba crassifolia",1934,4
"Brassicaceae","Draba incerta",1934,3
"Brassicaceae","Draba lemmonii",1900,1
"Brassicaceae","Draba oligosperma",1963,11
"Brassicaceae","Draba reptans",1924,1
"Brassicaceae","Eruca sativa",1936,2
"Brassicaceae","Eruca vesicaria",1911,1
"Brassicaceae","Erysimum arkansanum",1923,1
"Brassicaceae","Erysimum asperum",1921,1
"Brassicaceae","Erysimum cheiranthoides",1957,7
"Brassicaceae","Erysimum occidentale",1959,11
"Brassicaceae","Erysimum perenne",1938,1
"Brassicaceae","Guillenia lasiophylla",1921,1
"Brassicaceae","Heterodraba unilateralis",1889,1
"Brassicaceae","Lepidium acutidens",1887,1
"Brassicaceae","Lepidium dictyotum",1948,11
"Brassicaceae","Lepidium montanum",1950,4
"Brassicaceae","Lepidium sativum",1922,1
"Brassicaceae","Lesquerella kingii",1933,2
"Brassicaceae","Malcolmia africana",1952,1
"Brassicaceae","Nasturtium sterile",1916,2
"Brassicaceae","Physaria douglasii",1963,9
"Brassicaceae","Physaria geyeri",1894,1
"Brassicaceae","Rapistrum rugosum",1902,1
"Brassicaceae","Rorippa indica",1902,2
"Brassicaceae","Rorippa nasturtium-aquaticum",1917,1
"Brassicaceae","Rorippa tenerrima",1910,2
"Brassicaceae","Schoenocrambe linifolia",1885,1
"Brassicaceae","Streptanthus cordatus",1965,7
"Brassicaceae","Thelypodium integrifolium",1950,9
"Brassicaceae","Thlaspi montanum",1942,6
"Brassicaceae","Tomostima reptans",1896,4
"Cactaceae","Opuntia fragilis",1942,4
"Campanulaceae","Campanula latifolia",1956,1
"Campanulaceae","Lobelia cardinalis",1964,1
"Campanulaceae","Lobelia hirtella",1926,1
"Campanulaceae","Specularia rariflorum",1909,1
"Campanulaceae","Triodanis biflora",1958,3
"Caprifoliaceae","Lonicera interrupta",1931,3
"Caryophyllaceae","Agrostemma githago",1959,14
"Caryophyllaceae","Arenaria aculeata",1896,1
"Caryophyllaceae","Arenaria capillaris",1937,1
"Caryophyllaceae","Arenaria franklinii",1928,1
"Caryophyllaceae","Arenaria pumicola",1935,1
"Caryophyllaceae","Cerastium brachypodum",1896,1
"Caryophyllaceae","Cerastium nutans",1914,3
"Caryophyllaceae","Cerastium tomentosum",1956,2
"Caryophyllaceae","Cerastium viscosum",1925,3
"Caryophyllaceae","Cherleria biflora",1965,9
"Caryophyllaceae","Gypsophila elegans",1933,1
"Caryophyllaceae","Loeflingia squarrosa",1942,4
"Caryophyllaceae","Minuartia austromontana",1944,1
"Caryophyllaceae","Minuartia obtusiloba",1934,1
"Caryophyllaceae","Minuartia pusilla",1925,6
"Caryophyllaceae","Myosoton aquaticum",1902,2
"Caryophyllaceae","Paronychia franciscana",1926,2
"Caryophyllaceae","Sagina japonica",1902,2
"Caryophyllaceae","Sagina subulata",1965,1
"Caryophyllaceae","Silene bridgesii",1886,1
"Caryophyllaceae","Silene conoidea",1959,5
"Caryophyllaceae","Silene noctiflora",1963,6
"Caryophyllaceae","Silene oraria",1930,1
"Caryophyllaceae","Spergularia bocconii",1902,2
"Caryophyllaceae","Spergularia diandra",1943,5
"Caryophyllaceae","Spergularia media",1902,1
"Caryophyllaceae","Spergularia villosa",1902,1
"Ceratophyllaceae","Ceratophyllum echinatum",1951,2
"Cleomaceae","Cleome lutea",1950,12
"Cleomaceae","Cleome platycarpa",1947,11
"Cleomaceae","Cleome serrulata",1925,3
"Convolvulaceae","Calystegia sepium",1937,5
"Convolvulaceae","Convolvulus luteolus",1887,1
"Convolvulaceae","Convolvulus nyctagineus",1930,2
"Convolvulaceae","Convolvulus polymorphus",1937,1
"Convolvulaceae","Convolvulus soldanella",1889,1
"Convolvulaceae","Cressa truxillensis",1927,1
"Convolvulaceae","Cuscuta approximata",1938,6
"Convolvulaceae","Cuscuta brachycalyx",1952,2
"Convolvulaceae","Cuscuta cephalanthi",1953,4
"Convolvulaceae","Cuscuta epithymum",1949,4
"Cornaceae","Cornus glabrata",1945,8
"Crassulaceae","Dudleya farinosa",1961,8
"Crassulaceae","Phedimus spurius",1958,4
"Crassulaceae","Sedum divergens",1966,15
"Crassulaceae","Sedum obtusatum",1930,2
"Crassulaceae","Sedum rosea",1944,6
"Cupressaceae","Cryptomeria japonica",1965,2
"Cupressaceae","Libocedrus decurrens",1928,1
"Cyperaceae","Bulbostylis capillaris",1887,1
"Cyperaceae","Carex comosa",1945,2
"Cyperaceae","Carex eleocharis",1938,1
"Cyperaceae","Carex gigas",1918,2
"Cyperaceae","Carex hirta",1916,1
"Cyperaceae","Carex kelloggii",1926,2
"Cyperaceae","Carex multicostata",1935,1
"Cyperaceae","Carex nova",1934,1
"Cyperaceae","Cyperus acuminatus",1937,7
"Cyperaceae","Cyperus aggregatus",1916,1
"Cyperaceae","Cyperus odoratus",1915,1
"Cyperaceae","Eleocharis decumbens",1929,1
"Cyperaceae","Eleocharis erythropoda",1948,2
"Cyperaceae","Eleocharis parvula",1924,1
"Cyperaceae","Lipocarpha aristulata",1944,1
"Cyperaceae","Scirpus americanus",1950,4
"Cyperaceae","Scirpus fluviatilis",1950,2
"Cyperaceae","Scirpus heterochaetus",1896,1
"Cyperaceae","Scirpus maritimus",1949,13
"Cyperaceae","Scirpus pungens",1948,18
"Cyperaceae","Scirpus subterminalis",1939,5
"Cyperaceae","Scirpus tabernaemontani",1948,15
"Droseraceae","Drosera longifolia",1964,4
"Droseraceae","Drosera obovata",1962,1
"Elatinaceae","Bergia texana",1915,2
"Elatinaceae","Elatine brachysperma",1894,1
"Elatinaceae","Elatine rubella",1883,1
"Ericaceae","Arctostaphylos cinerea",1886,1
"Ericaceae","Arctostaphylos glandulosa",1918,3
"Ericaceae","Arctostaphylos manzanita",1896,1
"Ericaceae","Arctostaphylos stanfordiana",1919,2
"Ericaceae","Hypopitys monotropa",1924,1
"Ericaceae","Vaccinium caespitosum",1947,1
"Ericaceae","Vaccinium deliciosum",1948,12
"Fabaceae","Acmispon denticulatus",1956,15
"Fabaceae","Acmispon wrangelianus",1947,4
"Fabaceae","Astragalus aboriginum",1899,1
"Fabaceae","Astragalus drummondii",1927,2
"Fabaceae","Astragalus gambelianus",1948,5
"Fabaceae","Astragalus hoodianus",1951,10
"Fabaceae","Astragalus lemmonii",1938,4
"Fabaceae","Astragalus spaldingii",1958,8
"Fabaceae","Cytisus multiflorus",1919,1
"Fabaceae","Lathyrus brownii",1959,13
"Fabaceae","Lotus crassifolius",1888,2
"Fabaceae","Lotus micranthus",1947,1
"Fabaceae","Lotus nevadensis",1888,1
"Fabaceae","Lotus pinnatus",1959,2
"Fabaceae","Lotus purshianus",1939,2
"Fabaceae","Lupinus andersonii",1939,8
"Fabaceae","Lupinus oreganus",1918,1
"Fabaceae","Lupinus sabinii",1944,2
"Fabaceae","Medicago hispida",1958,4
"Fabaceae","Melilotus indicus",1921,4
"Fabaceae","Ononis spinosa",1919,1
"Fabaceae","Oxytropis viscida",1907,1
"Fabaceae","Psoralea lanceolata",1923,1
"Fabaceae","Trifolium beckwithii",1927,7
"Fabaceae","Trifolium breweri",1953,4
"Fabaceae","Trifolium echinatum",1902,1
"Fabaceae","Trifolium macraei",1967,17
"Fabaceae","Trifolium obtusiflorum",1947,6
"Fabaceae","Trifolium procumbens",1937,2
"Fabaceae","Trifolium rydbergii",1908,1
"Fabaceae","Trifolium siskiyouense",1918,7
"Fabaceae","Vicia angustifolia",1926,2
"Fabaceae","Vicia californica",1931,5
"Fabaceae","Vicia cracca",1911,2
"Fabaceae","Vicia hassei",1889,1
"Fabaceae","Vicia pannonica",1943,6
"Fagaceae","Chrysolepis sempervirens",1936,2
"Fagaceae","Quercus morehus",1956,13
"Frankeniaceae","Frankenia pulverulenta",1902,1
"Garryaceae","Garrya buxifolia",1965,18
"Gentianaceae","Erythraea minima",1883,1
"Geraniaceae","Geranium retrorsum",1939,1
